Polish ,Korean (human translations) - (Lara),Korean alternate (human translations) - Austin,Korean Formal (human translations),Korean Informal (human translations),"Korean Machine Translations (""model name"") - Sabina",Formality,Korean Machine Translations (OpenNMT) - Lara,Formality,Korean Machine Translations (Yandex.Translate) - Austin,Formality,English,Sentence Structure,Topic Type,Source (if applicable),,,,,
"W 2021 roku, prezydent Korei Południowej Moon Jae-in spotkał się z liderem Korei Północnej Kim Jong-unem, co było pierwszym takim spotkaniem od trzech lat i miało na celu odbudowanie dialogu między obydwoma krajami. ",2021년 문재인 대통령은 김정은 북한 국무위원장과 3년 만에 처음 만나 남북간 대화 재건을 목표로 삼았다.,,2021년 문재인 대통령은 김정은 북한 국무위원장과 3년 만에 처음 만나 남북간 대화 재건을 목표로 삼았습니다.,2021년 문재인 대통령은 김정은 북한 국무위원장과 3년 만에 처음 만나 남북간 대화 재건을 목표로 삼았다.,"2021 년, 남한 대통령 Moon Jae-in은 북한 지도자 Kim Jong-un과 만났으며, 이는 3 년 만에 처음으로 만났으며 두 나라 간의 대화를 재개하는 것을 목표로했습니다.",Formal,"2021년, 한국 대통령 문재인은 북한 김종훈의 선두주자로 세년 이후 첫 회의를 펼치고 두 국가 간의 대화를 재구성하는 것을 목표로 하고 있습니다.",Formal,"2021 년,한국의 문재인 대통령은 김정은 북한 지도자를 만났다.이는 3 년 만에 처음으로 두 나라 간의 대화를 회복하는 것을 목표로 한 회담이었다.",Informal,"In 2021, South Korean President Moon Jae-in met with North Korean leader Kim Jong-un, which was the first such meeting in three years and aimed to rebuild dialogue between the two countries.",Compound Complex,Politics,ChatGPT,,,,,
"Chociaż już dawno zakończyłem studia, wciąż uczę się nowych rzeczy w pracy.",오래 전에 공부를 마쳤지만 여전히 직장에서 새로운 것을 배운다.,,오래 전에 공부를 마쳤지만 여전히 직장에서 새로운 것을 배웁니다.,오래 전에 공부를 마쳤지만 여전히 직장에서 새로운 것을 배운다.,"나는 오랫동안 공부를 마쳤지만, 나는 여전히 직장에서 새로운 것을 배우고있다.",Informal,"그는 이미 그의 연구를 완료했지만, 그는 여전히 그의 일에 새로운 것을 가르쳤다.",Informal,나는 오래 전에 대학을 졸업했지만 여전히 직장에서 새로운 것을 배우고 있습니다.,Formal,"Although I finished my studies a long time ago, I still learn new things at work.",Complex,Conversational / Everyday Phrases,,,,,,
"Gdybym miał więcej czasu, zacząłbym się uczyć nowego języka.","시간이 더 있다면 새로운 언어를 배우기 시작할텐데.
",,시간이 더 있다면 새로운 언어를 배우기 시작할텐데요.,시간이 더 있다면 새로운 언어를 배우기 시작할텐데.,"내가 더 많은 시간을 가지고 있다면, 나는 새로운 언어를 배우기 시작할 것이다.",Informal,"그는 더 많은 시간을 겪을 때, 그는 새로운 언어를 배우기 시작했습니다.",Formal,"더 많은 시간이 있다면,나는 새로운 언어를 배우기 시작할 것입니다.",Formal,"If I had more time, I would start learning a new language.",Complex,Conversational / Everyday Phrases,,,,,,
"Nie mogę przestać myśleć o tym, co powiedział mi szef na ostatnim spotkaniu.","나는 지난 회의에서 사장님이 나 한테 한 말이 계속 생각난다.
",,나는 지난 회의에서 사장님이 나 한테 한 말이 계속 생각납니다.,나는 지난 회의에서 사장님이 나 한테 한 말이 계속 생각난다.,나는 마지막 회의에서 나에게 말한 것에 대해 생각하는 것을 멈출 수 없습니다.,Formal,나는 마지막 회의에서 내 보스에 대해 생각하지 않습니다.,Formal,나는 마지막 회의에서 상사가 나에게 말한 것에 대해 생각하지 않을 수 없다.,Informal,I can't stop thinking about what my boss said to me at the last meeting.,Complex,Conversational / Everyday Phrases,,,,,,
"Gdybym miał samochód, mógłbym łatwiej odwiedzać moich znajomych poza miastem.",차가 있으면 도시 밖에 있는 친구들을 더 쉽게 방문할 수 있는데.,차 있으면 도시 밖 친구들 더 쉽게 방문할 수 있을텐데.,차가 있으면 도시 밖에 있는 친구들을 더 쉽게 방문할 수 있을텐데요.,차가 있으면 도시 밖에 있는 친구들을 더 쉽게 방문할 수 있을텐데.,"내가 차를 가지고 있다면, 나는 도시 밖에서 내 친구를 더 쉽게 방문 할 수있었습니다.",Formal,"그는 차를 가지고있을 때, 그는 쉽게 도시 밖에 내 친구를 방문 할 수 있습니다.",Formal,"내가 차를 가지고 있다면,나는 더 쉽게 나라에서 내 친구를 방문 할 수 있습니다.",Formal,"If I had a car, I could visit my friends outside the city more easily.",Complex,Conversational / Everyday Phrases,,,,,,
"Chciałbym kupić nowy rower, ale muszę najpierw oszczędzić trochę pieniędzy.","새 자전거를 사고 싶은데 먼저 돈을 좀 모아야해.
",,새 자전거를 사고 싶은데 먼저 돈을 좀 모아야합니다.,새 자전거를 사고 싶은데 먼저 돈을 좀 모아야해.,나는 새로운 자전거를 구입하고 싶지만 먼저 약간의 돈을 절약해야합니다.,Formal,"나는 새로운 자전거를 사고 싶어, 하지만 나는 약간 돈을 지출하려고.",Informal,나는 새로운 자전거를 사고 싶지만 먼저 돈을 저축해야합니다.,Formal,"I would like to buy a new bike, but I need to save some money first.",Complex,Conversational / Everyday Phrases,,,,,,
"Choć lubię gotować, czasami brakuje mi pomysłów na nowe przepisy.","나는 요리하는 것을 즐기지만 어쩔땐 새로운 요리법에 대한 아이디어가 부족하다.
",나는 요리하는 거 즐기는데 어쩔 땐 새로운 요리법 아이디어 부족해,나는 요리하는 것을 즐기지만 어쩔땐 새로운 요리법에 대한 아이디어가 부족합니다.,나는 요리하는 것을 즐기지만 어쩔땐 새로운 요리법에 대한 아이디어가 부족하다.,나는 요리를 좋아하지만 때로는 새로운 요리에 대한 아이디어가 부족합니다.,Formal,"그러나 그는 준비가되어 있지만, 그는 새로운 법률에 대한 아이디어를 부족.",Informal,나는 요리를 좋아하지만 때로는 새로운 요리법에 대한 아이디어가 충분하지 않습니다.,Formal,"Although I enjoy cooking, sometimes I run out of ideas for new recipes.",Complex,Conversational / Everyday Phrases,,,,,,
"Muszę przeprowadzić kilka ważnych rozmów z klientami, zanim zamknę biuro dzisiaj.",오늘 사무실을 닫기 전에 고객과 몇 가지 중요한 대화를 이끌어야 한다.,,오늘 사무실을 닫기 전에 고객과 몇 가지 중요한 대화를 이끌어야 합니다.,오늘 사무실을 닫기 전에 고객과 몇 가지 중요한 대화를 이끌어야 한다.,나는 오늘 사무실을 닫기 전에 고객과 몇 가지 중요한 대화를해야합니다.,Formal,그는 오늘 사무실이되기 전에 고객과 몇 가지 중요한 대화를했습니다.,Formal,오늘 사무실을 닫기 전에 고객과 중요한 대화를 나눌 필요가 있습니다.,Formal,I need to lead a few important conversations with clients before I close the office today.,Complex,Conversational / Everyday Phrases,,,,,,
"Chociaż nie jestem wielkim fanem sportu, zawsze interesuję się wynikami najważniejszych meczów.",나는 스포츠를 좋아하지는 않지만 항상 가장 중요한 게임의 결과를 따른다.,,저는 스포츠를 좋아하지는 않지만 항상 가장 중요한 게임의 결과를 따릅니다.,나는 스포츠를 좋아하지는 않지만 항상 가장 중요한 게임의 결과를 따른다.,"나는 스포츠의 큰 팬이 아니지만, 나는 항상 중요한 경기의 결과에 관심이있다.",Formal,"그녀는 훌륭한 스포츠 팬이 아니지만, 그녀는 항상 가장 중요한 경기에 관심이 있습니다.",Formal,"나는 스포츠의 큰 팬이 아니지만,나는 항상 가장 중요한 경기의 결과에 관심이 있어요.",Formal,"Although I'm not a big fan of sports, I always follow the results of the most important games.",Complex,Conversational / Everyday Phrases,,,,,,
"Muszę się spieszyć, jeśli chcę zdążyć na czas na lotnisko.",제 시간에 공항에 가려면 서둘러야 한다.,,제 시간에 공항에 가려면 서둘러야 합니다.,제 시간에 공항에 가려면 서둘러야 한다.,나는 공항에 도착하기 위해 서두르고 싶다.,Informal,공항에서 오시는 길,Formal,제 시간에 공항에 도착하려면 서둘러야합니다.,Formal,I have to hurry if I want to make it to the airport on time.,Complex,Conversational / Everyday Phrases,,,,,,
"W 2021 roku, rząd Korei Południowej ogłosił plan wycofania się ze stosowania węgla jako źródła energii do 2045 roku, co jest ważnym krokiem w kierunku walki ze zmianami klimatycznymi.","2021년 한국 정부는 2045년까지 석탄을 에너지원에서 단계적으로 폐지한다는 계획을 발표했는데, 이는 기후 변화에 대처하기 위한 중요한 단계이다.
",,"2021년 한국 정부는 2045년까지 석탄을 에너지원에서 단계적으로 폐지한다는 계획을 발표했는데, 이는 기후 변화에 대처하기 위한 중요한 단계입니다.","2021년 한국 정부는 2045년까지 석탄을 에너지원에서 단계적으로 폐지한다는 계획을 발표했는데, 이는 기후 변화에 대처하기 위한 중요한 단계이다.","2021 년, 한국 정부는 2045 년까지 석탄 에너지의 사용을 철회 할 계획을 발표, 기후 변화와의 싸움을위한 중요한 단계입니다.",Formal,2021년에는 한국 정부가 탄소를 2045년까지 배출할 계획이라고 발표했습니다. 이는 기후 변화에 중요한 역할을 합니다.,Formal,"2021 년,한국 정부는 2045 년까지 석탄을 에너지원으로 단계적으로 폐지할 계획을 발표했는데,이는 기후변화 퇴치에 중요한 단계이다.",Formal,"In 2021, the South Korean government announced a plan to phase out coal as an energy source by 2045, which is an important step towards fighting climate change.",Compound Complex,Politics,,,,,,
"Po pierwsze są to przygotowania do szczytu w Wilnie, to obecnie jeden z najważniejszych celów polskiej dyplomacji, drugą sprawą jest integracja z Europą Bałkanów Zachodnich. ","첫째, 현재 폴란드 외교의 가장 중요한 목표 중 하나인 빌니우스 정상회담 준비와 둘째, 서부 발칸 지역의 유럽과의 통합이다.",,"첫째, 현재 폴란드 외교의 가장 중요한 목표 중 하나인 빌니우스 정상회담 준비와 둘째, 서부 발칸 지역의 유럽과의 통합입니다.","첫째, 현재 폴란드 외교의 가장 중요한 목표 중 하나인 빌니우스 정상회담 준비와 둘째, 서부 발칸 지역의 유럽과의 통합이다.","첫째, 이것은 윌니 회의 준비이며, 현재 폴란드 외교의 가장 중요한 목표 중 하나이며, 두 번째 문제는 서부 발칸 유럽과의 통합입니다.",Formal,"첫번째는 Wilno의 요약을 위해 준비됩니다, 지금 가장 중요한 폴란드어 diplomacy의 한, 다른은 서부 발칸과 통합하는 것입니다.",Formal,"첫째,빌뉴스 정상회담을 준비하는 것이 폴란드 외교의 가장 중요한 목표 중 하나이며,둘째,서부 발칸 반도와 유럽의 통합입니다.",Formal,"Firstly, there are preparations for the Vilnius summit, which is currently one of the most important goals of Polish diplomacy, and secondly, integration with the Europe of the Western Balkans. ",Compound Complex,Politics,"https://www.polskieradio.pl/399/7975/Artykul/3154295,Minister-Zbigniew-Rau-w-Chorwacji-Rozmowy-o-wojnie-na-Ukrainie-i-wspolpracy-gospodarczej",,,,,
 Władze Chin planują zamknięcie przestrzeni powietrznej na północ od Tajwanu w dniach 16-18 kwietnia.,중국 당국은 4월 16일부터 18일까지 대만 북부 영공을 폐쇄할 계획이다.,,중국 당국은 4월 16일부터 18일까지 대만 북부 영공을 폐쇄할 계획입니다.,중국 당국은 4월 16일부터 18일까지 대만 북부 영공을 폐쇄할 계획이다.,중국 정부는 4월 16일부터 18일까지 대만 북부의 공기 공간을 폐쇄할 계획이다.,Informal,중국의 정부는 4 월 16 일부터 18 일까지 대만의 에어 스페이스 북을 깰 계획입니다.,Formal,중국 당국은 4 월 16~18 일 대만 북쪽의 영공을 폐쇄할 계획입니다.,Formal,Chinese authorities plan to close airspace north of Taiwan from April 16-18.,Simple,Politics,"https://www.polskieradio.pl/399/7975/Artykul/3151816,ekspert-chiny-stanowia-powazne-zagrozenie-podczas-rozmow-macrona-z-xi-zabraklo-rownowagi",,,,,
Litwa będzie odbierać obywatelstwo za wspieranie agresorów.,"리투아니아는 침략자를 지원하기 위해 시민권을 취소할거다.
",,리투아니아는 침략자를 지원하기 위해 시민권을 취소할겁니다.,리투아니아는 침략자를 지원하기 위해 시민권을 취소할거다.,리투아니아는 공격자들을 돕기 위해 시민권을 받게 될 것이다.,Informal,리투아니아는 의회의 지원을 위해 시민권을 받게됩니다.,Formal,리투아니아는 침략자를 지원하기 위해 시민권을 받게됩니다.,Formal,Lithuania will revoke citizenship for supporting aggressors,Simple,Politics,"https://www.polskieradio.pl/399/7975/Artykul/3140227,litwa-bedzie-odbierac-obywatelstwo-za-wspieranie-agresorow",,,,,
Korea Południowa jest obecnie jednym z najważniejszych partnerów gospodarczych Polski - mówił w Seulu minister spraw zagranicznych Zbigniew Rau.,한국은 현재 폴란드의 가장 중요한 경제 파트너 중 하나라고 서울에서 Zbigniew Rau 외무장관이 말했다.,,한국은 현재 폴란드의 가장 중요한 경제 파트너 중 하나라고 서울에서 Zbigniew Rau 외무장관이 말했습니다.,한국은 현재 폴란드의 가장 중요한 경제 파트너 중 하나라고 서울에서 Zbigniew Rau 외무장관이 말했다.,한국은 현재 폴란드의 가장 중요한 경제 파트너 중 하나입니다 - 외교 장관 Zbigniew Rau는 서울에서 말했다.,Formal,"대한민국은 폴란드에서 가장 중요한 파트너 중 하나이며, 한국 외교 장관 인 Zbigniew Rau에 대해 이야기합니다.",Formal,한국은 폴란드 공화국의 가장 중요한 경제 파트너 중 하나라고 지비그니우 라우 외무장관은 서울에서 말했다.,Formal,"South Korea is currently one of Poland's most important economic partners, said Foreign Minister Zbigniew Rau in Seoul.",Complex,Politics,"https://www.polskieradio.pl/399/7975/Artykul/3134266,minister-zbigniew-rau-z-wizyta-w-seulu-rozmowy-o-wspolpracy-polskokoreanskiej",,,,,
Rząd chce podnieść wiek emerytalny do 70 lat w Polsce.,정부는 폴란드에서 정년을 70세로 올리고 싶어한다.,,정부는 폴란드에서 정년을 70세로 올리고 싶어합니다.,정부는 폴란드에서 정년을 70세로 올리고 싶어한다.,정부는 폴란드에서 연금 연령을 70년으로 늘리려고 한다.,Formal,정부는 폴란드에서 70 년의 은퇴 나이를 올리고 싶어.,Informal,폴란드 정부는 은퇴 연령을 70 세로 올리고 싶어합니다.,Formal,The government wants to raise the retirement age to 70 in Poland.,Simple,Politics,,,,,,
Liczba zakażeń koronawirusem w Brazylii utrzymuje się na stabilnym poziomie.,"브라질의 코로나바이러스 감염자 수는 안정적으로 유지되고 있다.
",,브라질의 코로나바이러스 감염자 수는 안정적으로 유지되고 있습니다.,브라질의 코로나바이러스 감염자 수는 안정적으로 유지되고 있다.,브라질에서 코로나 바이러스 감염의 수는 안정적 인 수준으로 유지됩니다.,Formal,브라질에 있는 크라운의 수는 안정되어 있는 수준을 유지합니다.,Formal,브라질의 코로나 바이러스 감염 수는 안정적으로 유지됩니다.,Formal,The number of coronavirus infections in Brazil remains stable.,Simple,Politics,,,,,,
Amerykańskie lotnictwo zbombardowało afgańskie cele z powodu ataku na lotnisko w Kabulu.,미국 항공은 카불 공항에 대한 공격에 대응하여 아프간 목표물을 폭격했다.,,미국 항공은 카불 공항에 대한 공격에 대응하여 아프간 목표물을 폭격했습니다.,미국 항공은 카불 공항에 대한 공격에 대응하여 아프간 목표물을 폭격했다.,미국 공군은 아프가니스탄 공항 공격으로 인해 아프가니스탄 목표를 폭격했다.,Informal,미국의 공군 폭탄 Afghan 대상은 Kabul의 공격으로 인해.,Informal,카불 공항에 대한 공격으로 인해 미국 항공기가 아프간 목표물을 폭격했습니다.,Formal,US aviation bombed Afghan targets in response to attack on Kabul airport.,Simple,Politics,ChatGPT,,,,,
"Amerykańskie władze ogłosiły, że wprowadzą nowe sankcje przeciwko Rosji z powodu naruszeń praw człowieka i agresywnej polityki zagranicznej.",미국 당국은 인권 침해와 공격적인 외교 정책을 이유로 러시아에 새로운 제재를 가할 것이라고 발표했다.,,미국 당국은 인권 침해와 공격적인 외교 정책을 이유로 러시아에 새로운 제재를 가할 것이라고 발표했습니다.,미국 당국은 인권 침해와 공격적인 외교 정책을 이유로 러시아에 새로운 제재를 가할 것이라고 발표했다.,미국 당국은 인권 침해와 공격적인 외교 정책으로 인해 러시아에 대한 새로운 제재를 발표했다.,Informal,미국 당국은 인권과 적극적인 외국인 정책 위반으로 인해 러시아에 대한 새로운 제재를 발표했습니다.,Formal,미국 당국은 인권 침해와 공격적인 외교 정책으로 인해 러시아에 대한 새로운 제재를 가할 것이라고 발표했습니다.,Formal,US authorities announced that they will impose new sanctions against Russia due to human rights violations and aggressive foreign policy.,Complex,Politics,ChatGPT,,,,,
"W wyniku wybuchu w centrum Bejrutu zginęło ponad 200 osób, a tysiące zostały rannych, co spowodowało ogromne straty materialne i humanitarne. ","베이루트 시내에서 발생한 폭발로 인해 200명 이상이 사망하고 수천 명이 부상을 입어 막대한 물질적, 인도적 손실이 발생했다.",,"베이루트 시내에서 발생한 폭발로 인해 200명 이상이 사망하고 수천 명이 부상을 입어 막대한 물질적, 인도적 손실이 발생했습니다.","베이루트 시내에서 발생한 폭발로 인해 200명 이상이 사망하고 수천 명이 부상을 입어 막대한 물질적, 인도적 손실이 발생했다.","베이루트 중심부에서 발생한 폭발로 200명이 넘는 사람들이 사망하고 수천 명이 부상했으며, 이로 인해 엄청난 물질적 및 인도주의적 손실이 발생했습니다.",Formal,Bejrut의 폭발의 발발의 결과로 200 명이 사망하고 수천 명이 부상하고 거대한 손상과 인도적 손실 결과로 부상했습니다.,Formal,"베이루트 중심부에서 발생한 폭발로 200 명 이상이 사망하고 수천 명이 부상당했으며,이로 인해 엄청난 물적,인도적 손실이 발생했습니다.",Formal,"More than 200 people were killed and thousands were injured as a result of the explosion in downtown Beirut, which caused enormous material and humanitarian losses.",Complex,Politics,ChatGPT,,,,,
"W wyniku konfliktu w Górskim Karabachu zginęły setki osób, a tysiące zostały wypędzone ze swoich domów, co doprowadziło do kryzysu humanitarnego w regionie.",Nagorno-Karabakh 분쟁의 결과 수백 명이 사망하고 수천 명이 고향을 떠나 이 지역에 인도주의적 위기가 발생했다.,,Nagorno-Karabakh 분쟁의 결과 수백 명이 사망하고 수천 명이 고향을 떠나 이 지역에 인도주의적 위기가 발생했습니다.,Nagorno-Karabakh 분쟁의 결과 수백 명이 사망하고 수천 명이 고향을 떠나 이 지역에 인도주의적 위기가 발생했다.,카라바흐 산의 갈등으로 수백 명이 사망했고 수천 명이 집에서 추방되었으며 이로 인해 지역의 인도주의 위기가 발생했습니다.,Formal,위 카라바바흐의 충돌의 결과로 수백 명의 사람들이 사망하고 수천 명의 사람들이 지역 내 인도주의 위기에 이르렀다.,Informal,"나고르노 카라바흐 분쟁으로 인해 수백 명이 사망하고 수천 명이 집을 쫓겨났고,이는 이 지역에서 인도적 위기를 초래했습니다.",Formal,"As a result of the conflict in Nagorno-Karabakh, hundreds of people have been killed and thousands have been displaced from their homes, leading to a humanitarian crisis in the region.",Complex,Politics,ChatGPT,,,,,
"Nowy rząd Izraela złożył przysięgę, a premier Naftali Bennett ogłosił, że jego rząd będzie działał na rzecz pokoju i stabilizacji w regionie Bliskiego Wschodu. ",이스라엘의 새 정부가 출범했고 Naftali Bennett 총리는 그의 정부가 중동 지역의 평화와 안정을 위해 노력할 것이라고 발표했다.,,이스라엘의 새 정부가 출범했고 Naftali Bennett 총리는 그의 정부가 중동 지역의 평화와 안정을 위해 노력할 것이라고 발표했습니다.,이스라엘의 새 정부가 출범했고 Naftali Bennett 총리는 그의 정부가 중동 지역의 평화와 안정을 위해 노력할 것이라고 발표했다.,"이스라엘의 새로운 정부는 맹세를 하였고, 나프탈리 베네트 총리는 중동 지역의 평화와 안정성을 위해 행동할 것이라고 발표했다.",Informal,이스라엘의 새로운 정부는 Naftali Bennett 장관 인 vow와 Prime 장관을 제출했습니다. 정부는 중동의 평화와 안정성을 위해 일할 것이라고 발표했습니다.,Formal,"새로운 이스라엘 정부가 취임했고,나프탈리 베넷 총리는 그의 정부가 중동 지역의 평화와 안정화를 위해 노력할 것이라고 발표했습니다.",Formal,"The new government of Israel has been sworn in, and Prime Minister Naftali Bennett has announced that his government will work towards peace and stability in the Middle East region.",Complex,Politics,ChatGPT,,,,,
Stany Zjednoczone i ich sojusznicy potępiły atak z użyciem broni chemicznej w Syrii i domagają się surowych sankcji wobec rządu prezydenta Assada.,미국과 동맹국들은 시리아의 화학무기 공격을 규탄하고 아사드 대통령 정부에 대한 가혹한 제재를 요구하고 있다.,,미국과 동맹국들은 시리아의 화학무기 공격을 규탄하고 아사드 대통령 정부에 대한 가혹한 제재를 요구하고 있습니다.,미국과 동맹국들은 시리아의 화학무기 공격을 규탄하고 아사드 대통령 정부에 대한 가혹한 제재를 요구하고 있다.,미국과 동맹국들은 시리아에서 화학무기 공격을 비난하고 아사드 정부에 대한 엄격한 제재를 요구하고 있습니다.,Formal,미국과 그들의 동맹은 시리아의 화학 무기의 사용을 가진 공격을 연결하고 아사다에 대한 surly sanctioned sanctioned.,Informal,미국과 동맹국들은 시리아의 화학무기 공격을 비난하고 아사드 대통령 정부에 대한 엄격한 제재를 요구하고 있습니다.,Formal,The United States and their allies have condemned the chemical weapons attack in Syria and are demanding harsh sanctions against President Assad's government.,Complex,Politics,ChatGPT,,,,,
"Węgry dodały miód i niektóre produkty mięsne do listy artykułów żywnościowych, których import z Ukrainy tymczasowo zakazano, aby złagodzić presję rynkową wywieraną na węgierskich rolników.",헝가리는 헝가리 농부들에 대한 시장 압력을 완화하기 위해 일시적으로 우크라이나로부터의 수입을 금지한 식품 목록에 꿀과 특정 육류 제품을 추가했다.,,헝가리는 헝가리 농부들에 대한 시장 압력을 완화하기 위해 일시적으로 우크라이나로부터의 수입을 금지한 식품 목록에 꿀과 특정 육류 제품을 추가했습니다.,헝가리는 헝가리 농부들에 대한 시장 압력을 완화하기 위해 일시적으로 우크라이나로부터의 수입을 금지한 식품 목록에 꿀과 특정 육류 제품을 추가했다.,헝가리는 우크라이나에서 수입이 일시적으로 금지 된 식품 목록에 꿀과 일부 고기 제품을 추가하여 헝가리 농부에 대한 시장 압력을 완화했습니다.,Formal,"헝가리는 고기와 일부 고기 제품을 식품 목록에 추가, 우크라이나에서 수입 일시적으로 헝가리 농부의 시장 가격을 금지.",Informal,헝가리는 헝가리 농부들에게 가해지는 시장 압력을 완화하기 위해 우크라이나에서 수입이 일시적으로 금지된 식품 목록에 꿀과 일부 육류 제품을 추가했습니다.,Formal,Hungary has added honey and certain meat products to a list of food items it has temporarily banned from being imported from Ukraine in an effort to relieve market pressures on Hungarian farmers.,Complex,Politics,ChatGPT,,,,,
"Gen. Abdel Fattah Burhan, dowódca sił zbrojnych, i gen. Mohammed Hamdan Dagalo, przywódca paramilitarnej grupy znanej jako Siły Szybkiego Wsparcia, która wyrosła z cieszących się złą sławą bojówek Janjaweed w Darfurze, starają się przejąć kontrolę nad Sudanem.",군대의 수장인 Abdel Fattah Burhan 장군과 Darfur의 악명 높은 Janjaweed 민병대에서 성장한 Rapid Support Forces로 알려진 준군사 그룹의 지도자인 Mohammed Hamdan Dagalo 장군은 각각 수단의 통제권을 장악하려고 한다.,,군대의 수장인 Abdel Fattah Burhan 장군과 Darfur의 악명 높은 Janjaweed 민병대에서 성장한 Rapid Support Forces로 알려진 준군사 그룹의 지도자인 Mohammed Hamdan Dagalo 장군은 각각 수단의 통제권을 장악하려고 합니다.,군대의 수장인 Abdel Fattah Burhan 장군과 Darfur의 악명 높은 Janjaweed 민병대에서 성장한 Rapid Support Forces로 알려진 준군사 그룹의 지도자인 Mohammed Hamdan Dagalo 장군은 각각 수단의 통제권을 장악하려고 한다.,"Abdel Fattah Burhan 장군, 군대 사령관, 그리고 Mohammed Hamdan Dagalo 장군, 다르푸르에서 악명 높은 Janjaweed 전사와 함께 자랐던 급속한 지원군으로 알려진 군사 단체의 지도자, 수단을 통제하려고 노력하고있다.",Informal,"Gen. Abdel Fattah Burhan, 군대의 지휘관, Gen. Mohammed Hamdan Dagalo, Darfur에서 Janjaweed의 용기로 만료 된 ""Sybki Wsparcia""로 알려진 기적 그룹의 지도자.",Informal,군대의 지휘관인 압델 파타 부르한 장군과 다르푸르의 악명 높은 장자위드 무장단체에서 성장한 신속 지원군으로 알려진 준군사단 지도자 모하메드 함단 다갈로 장군은 수단을 점령하려고 노력하고 있습니다.,Formal,"Gen. Abdel Fattah Burhan, head of the armed forces, and Gen. Mohammed Hamdan Dagalo, the leader of a paramilitary group known as the Rapid Support Forces that grew out of Darfur’s notorious Janjaweed militias, are each seeking to seize control of Sudan.",Complex,Politics,ChatGPT,,,,,
"Stany Zjednoczone usunęły Sudan z listy państw sponsorujących terroryzm po tym, jak rząd w Chartumie zgodził się nawiązać stosunki z Izraelem w 2020 roku.",미국은 하르툼 정부가 2020년 이스라엘과 관계를 맺기로 합의한 후 수단을 테러 지원국 명단에서 삭제했다.,,미국은 하르툼 정부가 2020년 이스라엘과 관계를 맺기로 합의한 후 수단을 테러 지원국 명단에서 삭제했습니다.,미국은 하르툼 정부가 2020년 이스라엘과 관계를 맺기로 합의한 후 수단을 테러 지원국 명단에서 삭제했다.,미국은 이스라엘 정부가 2020 년에 이스라엘과의 관계를 확립하기로 합의 한 후 테러를 후원하는 국가 목록에서 수단을 제거했습니다.,Formal,미국은 Chartumie의 정부의 정부가 2020 년 이스라엘과의 관계를 링크하기로 합의 한 다음 테러리스트와 합의했습니다.,Formal,미국은 2020 년 카르툼 정부가 이스라엘과의 관계를 개선하기로 합의한 후 수단을 테러를 후원하는 국가 목록에서 삭제했습니다.,Formal,The U.S. removed Sudan from its list of state sponsors of terrorism after the government in Khartoum agreed to forge ties with Israel in 2020.,Complex,Politics,ChatGPT,,,,,
